LTL Formula,Trace,Type,AST
G (x1 ->(X(!x1) & X(X(x1)))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Negative,"Always(LImplies(AtomicProposition(""x1""),LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))"
( !x1) U (x1 & X(G (!x1))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Positive,"Until(Not(AtomicProposition(""x1"")), LAnd(AtomicProposition(""x1""),Next(Always(Not(AtomicProposition(""x1""))))))"
( !x1) U (x1 & X(G (!x1))),[x1 = TRUE];[x1 = TRUE];...,Negative,"Until(Not(AtomicProposition(""x1"")), LAnd(AtomicProposition(""x1""),Next(Always(Not(AtomicProposition(""x1""))))))"
!F(x1 & X(x1 ) & X(X(x1))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Positive,"Not(Eventually(LAnd(LAnd(AtomicProposition(""x1""),Next(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))"
!F(x1 & X(x1 ) & X(X(x1))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];[x1 = TRUE];[x1 = FALSE];...,Negative,"Not(Eventually(LAnd(LAnd(AtomicProposition(""x1""),Next(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))"
G (x1 -> F(x2)),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive,"Always(LImplies(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2""))))"
G (x1 -> F(x2)),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative,"Always(LImplies(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2""))))"
(x1) U (G(!x1)),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Positive,"Until(AtomicProposition(""x1""), Always(Not(AtomicProposition(""x1""))))"
(x1) U (G(!x1)),[x1 = TRUE];[x1 = TRUE];...,Negative,"Until(AtomicProposition(""x1""), Always(Not(AtomicProposition(""x1""))))"
G(x1 -> X(!x1) & X(X(x1))),[x1 = TRUE];[x1 = FALSE];...,Positive,"Always(LImplies(AtomicProposition(""x1""),LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))"
G(x1 -> X(!x1) & X(X(x1))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Negative,"Always(LImplies(AtomicProposition(""x1""),LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))"
F(x1) & G(x1 -> X(G(!x1))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Positive,"LAnd(Eventually(AtomicProposition(""x1"")),Always(LImplies(AtomicProposition(""x1""),Next(Always(Not(AtomicProposition(""x1"")))))))"
F(x1) & G(x1 -> X(G(!x1))),[x1 = TRUE];[x1 = TRUE];[x1 = FALSE];...,Negative,"LAnd(Eventually(AtomicProposition(""x1"")),Always(LImplies(AtomicProposition(""x1""),Next(Always(Not(AtomicProposition(""x1"")))))))"
G(x1 & X(x1) -> X(X(!x1))),[x1 = TRUE];[x1 = TRUE];[x1 = FALSE];...,Positive,"Always(LImplies(LAnd(AtomicProposition(""x1""),Next(AtomicProposition(""x1""))),Next(Next(Not(AtomicProposition(""x1""))))))"
G(x1 & X(x1) -> X(X(!x1))),[x1 = TRUE];[x1 = TRUE];...,Negative,"Always(LImplies(LAnd(AtomicProposition(""x1""),Next(AtomicProposition(""x1""))),Next(Next(Not(AtomicProposition(""x1""))))))"
G(x1 -> x2 | F(x2)),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive,"Always(LImplies(AtomicProposition(""x1""),LOr(AtomicProposition(""x2""),Eventually(AtomicProposition(""x2"")))))"
G(x1 -> x2 | F(x2)),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative,"Always(LImplies(AtomicProposition(""x1""),LOr(AtomicProposition(""x2""),Eventually(AtomicProposition(""x2"")))))"
F(!x1) & G(!x1 -> X(G(!x1))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Positive,"LAnd(Eventually(Not(AtomicProposition(""x1""))),Always(LImplies(Not(AtomicProposition(""x1"")),Next(Always(Not(AtomicProposition(""x1"")))))))"
F(!x1) & G(!x1 -> X(G(!x1))),[x1 = TRUE];[x1 = FALSE];[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Negative,"LAnd(Eventually(Not(AtomicProposition(""x1""))),Always(LImplies(Not(AtomicProposition(""x1"")),Next(Always(Not(AtomicProposition(""x1"")))))))"
F (x1 & F (x2)) & F (x3 & (!x3 U x2)),"[x1 = TRUE, x2 = TRUE, x3 = TRUE];[x1 = TRUE, x2 = FALSE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];[x1 = FALSE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];[x1 = FALSE, x2 = TRUE, x3 = FALSE];...",Positive,"LAnd(Eventually(LAnd(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2"")))),Eventually(LAnd(AtomicProposition(""x3""),Until(Not(AtomicProposition(""x3"")), AtomicProposition(""x2"")))))"
F (x1 & F (x2)) & F (x3 & (!x3 U x2)),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];...",Negative,"LAnd(Eventually(LAnd(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2"")))),Eventually(LAnd(AtomicProposition(""x3""),Until(Not(AtomicProposition(""x3"")), AtomicProposition(""x2"")))))"
G(x1 -> (X(x2) & G(X(X(x3))))),"[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = TRUE];[x1 = TRUE, x2 = TRUE, x3 = TRUE];...",Positive,"Always(LImplies(AtomicProposition(""x1""),LAnd(Next(AtomicProposition(""x2"")),Always(Next(Next(AtomicProposition(""x3"")))))))"
G(x1 -> (X(x2) & G(X(X(x3))))),"[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = TRUE];...",Negative,"Always(LImplies(AtomicProposition(""x1""),LAnd(Next(AtomicProposition(""x2"")),Always(Next(Next(AtomicProposition(""x3"")))))))"
F(x1),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Positive,"Eventually(AtomicProposition(""x1""))"
F(x1),[x1 = FALSE];[x1 = FALSE];...,Negative,"Eventually(AtomicProposition(""x1""))"
F(x1) & F(x2),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive,"LAnd(Eventually(AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2"")))"
F(x1) & F(x2),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative,"LAnd(Eventually(AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2"")))"
F(x1) & G(!x2),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive,"LAnd(Eventually(AtomicProposition(""x1"")),Always(Not(AtomicProposition(""x2""))))"
F(x1) & G(!x2),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative,"LAnd(Eventually(AtomicProposition(""x1"")),Always(Not(AtomicProposition(""x2""))))"
F(x1 | x2) & F(x3),"[x1 = TRUE, x2 = FALSE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];...",Positive,"LAnd(Eventually(LOr(AtomicProposition(""x1""),AtomicProposition(""x2""))),Eventually(AtomicProposition(""x3"")))"
F(x1 | x2) & F(x3),"[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];...",Negative,"LAnd(Eventually(LOr(AtomicProposition(""x1""),AtomicProposition(""x2""))),Eventually(AtomicProposition(""x3"")))"
F(x1),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Positive,"Eventually(AtomicProposition(""x1""))"
F(x1),[x1 = FALSE];[x1 = FALSE];...,Negative,"Eventually(AtomicProposition(""x1""))"
F(x1) & F(x2),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive,"LAnd(Eventually(AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2"")))"
F(x1) & F(x2),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative,"LAnd(Eventually(AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2"")))"
G (!x1) & F(x2),"[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive,"LAnd(Always(Not(AtomicProposition(""x1""))),Eventually(AtomicProposition(""x2"")))"
G (!x1) & F(x2),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative,"LAnd(Always(Not(AtomicProposition(""x1""))),Eventually(AtomicProposition(""x2"")))"
F(x1) & G(x2),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Positive,"LAnd(Eventually(AtomicProposition(""x1"")),Always(AtomicProposition(""x2"")))"
F(x1) & G(x2),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Negative,"LAnd(Eventually(AtomicProposition(""x1"")),Always(AtomicProposition(""x2"")))"
b -> X((c U a) | (G(c))),"[a = FALSE, b = TRUE, c = FALSE];[a = TRUE, b = FALSE, c = TRUE];[a = FALSE, b = FALSE, c = TRUE];[a = FALSE, b = FALSE, c = TRUE];...",Positive,"LImplies(AtomicProposition(""b""),Next(LOr(Until(AtomicProposition(""c""), AtomicProposition(""a"")),Always(AtomicProposition(""c"")))))"
b -> X((c U a) | (G(c))),"[a = FALSE, b = TRUE, c = FALSE];[a = FALSE, b = TRUE, c = FALSE];...",Negative,"LImplies(AtomicProposition(""b""),Next(LOr(Until(AtomicProposition(""c""), AtomicProposition(""a"")),Always(AtomicProposition(""c"")))))"
(F(b) -> (!b U (a & !b))),"[a = TRUE, b = FALSE];[a = FALSE, b = FALSE];[a = FALSE, b = FALSE];...",Positive,"LImplies(Eventually(AtomicProposition(""b"")),Until(Not(AtomicProposition(""b"")), LAnd(AtomicProposition(""a""),Not(AtomicProposition(""b"")))))"
(F(b) -> (!b U (a & !b))),"[a = TRUE, b = TRUE];[a = FALSE, b = FALSE];[a = FALSE, b = FALSE];...",Negative,"LImplies(Eventually(AtomicProposition(""b"")),Until(Not(AtomicProposition(""b"")), LAnd(AtomicProposition(""a""),Not(AtomicProposition(""b"")))))"
G( a | b | c),"[a = TRUE, b = FALSE, c = FALSE];[a = TRUE, b = FALSE, c = FALSE];...",Positive,"Always(LOr(LOr(AtomicProposition(""a""),AtomicProposition(""b"")),AtomicProposition(""c"")))"
G( a | b | c),"[a = TRUE, b = FALSE, c = FALSE];[a = FALSE, b = FALSE, c = FALSE];[a = TRUE, b = FALSE, c = FALSE];[a = TRUE, b = FALSE, c = FALSE];...",Negative,"Always(LOr(LOr(AtomicProposition(""a""),AtomicProposition(""b"")),AtomicProposition(""c"")))"
G(a -> F(e)),"[a = TRUE, e = TRUE];[a = FALSE, e = FALSE];[a = FALSE, e = FALSE];...",Positive,"Always(LImplies(AtomicProposition(""a""),Eventually(AtomicProposition(""e""))))"
G(a -> F(e)),"[a = TRUE, e = TRUE];[a = TRUE, e = FALSE];[a = FALSE, e = FALSE];[a = FALSE, e = FALSE];...",Negative,"Always(LImplies(AtomicProposition(""a""),Eventually(AtomicProposition(""e""))))"
G(!(a & b)),"[a = TRUE, b = FALSE];[a = TRUE, b = FALSE];...",Positive,"Always(Not(LAnd(AtomicProposition(""a""),AtomicProposition(""b""))))"
G(!(a & b)),"[a = TRUE, b = TRUE];[a = TRUE, b = FALSE];[a = TRUE, b = FALSE];...",Negative,"Always(Not(LAnd(AtomicProposition(""a""),AtomicProposition(""b""))))"
G(a -> X(X(X b))),"[a = TRUE, b = FALSE];[a = FALSE, b = FALSE];[a = FALSE, b = FALSE];[a = FALSE, b = TRUE];...",Positive,"Always(LImplies(AtomicProposition(""a""),Next(Next(Next(AtomicProposition(""b""))))))"
G(a -> X(X(X b))),"[a = TRUE, b = FALSE];[a = TRUE, b = FALSE];...",Negative,"Always(LImplies(AtomicProposition(""a""),Next(Next(Next(AtomicProposition(""b""))))))"
G(e U (G(F(d)))),"[d = FALSE, e = FALSE];[d = TRUE, e = FALSE];[d = FALSE, e = FALSE];...",Positive,"Always(Until(AtomicProposition(""e""), Always(Eventually(AtomicProposition(""d"")))))"
G(e U (G(F(d)))),"[d = FALSE, e = TRUE];[d = FALSE, e = TRUE];...",Negative,"Always(Until(AtomicProposition(""e""), Always(Eventually(AtomicProposition(""d"")))))"
G(a -> b),"[a = TRUE, b = TRUE];[a = TRUE, b = TRUE];...",Positive,"Always(LImplies(AtomicProposition(""a""),AtomicProposition(""b"")))"
G(a -> b),"[a = TRUE, b = FALSE];[a = TRUE, b = TRUE];[a = TRUE, b = TRUE];...",Negative,"Always(LImplies(AtomicProposition(""a""),AtomicProposition(""b"")))"
G(a & b),"[a = TRUE, b = TRUE];[a = TRUE, b = TRUE];...",Positive,"Always(LAnd(AtomicProposition(""a""),AtomicProposition(""b"")))"
G(a & b),"[a = FALSE, b = FALSE];[a = TRUE, b = TRUE];[a = TRUE, b = TRUE];...",Negative,"Always(LAnd(AtomicProposition(""a""),AtomicProposition(""b"")))"
G(a) & G(b -> !c),"[a = TRUE, b = TRUE, c = FALSE];[a = TRUE, b = TRUE, c = FALSE];...",Positive,"LAnd(Always(AtomicProposition(""a"")),Always(LImplies(AtomicProposition(""b""),Not(AtomicProposition(""c"")))))"
G(a) & G(b -> !c),"[a = FALSE, b = FALSE, c = FALSE];[a = TRUE, b = TRUE, c = FALSE];[a = TRUE, b = TRUE, c = FALSE];...",Negative,"LAnd(Always(AtomicProposition(""a"")),Always(LImplies(AtomicProposition(""b""),Not(AtomicProposition(""c"")))))"
G(a -> F (b)) -> G(F(c)),"[a = TRUE, b = TRUE, c = FALSE];[a = TRUE, b = FALSE, c = FALSE];[a = FALSE, b = FALSE, c = FALSE];[a = FALSE, b = FALSE, c = FALSE];...",Positive,"LImplies(Always(LImplies(AtomicProposition(""a""),Eventually(AtomicProposition(""b"")))),Always(Eventually(AtomicProposition(""c""))))"
G(a -> F (b)) -> G(F(c)),"[a = TRUE, b = TRUE, c = FALSE];[a = FALSE, b = FALSE, c = FALSE];[a = FALSE, b = FALSE, c = FALSE];...",Negative,"LImplies(Always(LImplies(AtomicProposition(""a""),Eventually(AtomicProposition(""b"")))),Always(Eventually(AtomicProposition(""c""))))"
G(F(a)) -> G(F(b)),"[a = FALSE, b = FALSE];[a = FALSE, b = FALSE];...",Positive,"LImplies(Always(Eventually(AtomicProposition(""a""))),Always(Eventually(AtomicProposition(""b""))))"
G(F(a)) -> G(F(b)),"[a = FALSE, b = FALSE];[a = TRUE, b = FALSE];[a = FALSE, b = FALSE];...",Negative,"LImplies(Always(Eventually(AtomicProposition(""a""))),Always(Eventually(AtomicProposition(""b""))))"
G(F(a)) | G(F(b)),"[a = FALSE, b = FALSE];[a = FALSE, b = TRUE];[a = FALSE, b = FALSE];...",Positive,"LOr(Always(Eventually(AtomicProposition(""a""))),Always(Eventually(AtomicProposition(""b""))))"
G(F(a)) | G(F(b)),"[a = FALSE, b = FALSE];[a = FALSE, b = FALSE];...",Negative,"LOr(Always(Eventually(AtomicProposition(""a""))),Always(Eventually(AtomicProposition(""b""))))"
F(G(!a)),[a = FALSE];[a = FALSE];...,Positive,"Eventually(Always(Not(AtomicProposition(""a""))))"
F(G(!a)),[a = FALSE];[a = TRUE];...,Negative,"Eventually(Always(Not(AtomicProposition(""a""))))"
G (!(a & b) -> F(c)),"[a = TRUE, b = TRUE, c = FALSE];[a = TRUE, b = TRUE, c = FALSE];...",Positive,"Always(LImplies(Not(LAnd(AtomicProposition(""a""),AtomicProposition(""b""))),Eventually(AtomicProposition(""c""))))"
G (!(a & b) -> F(c)),"[a = TRUE, b = TRUE, c = FALSE];[a = TRUE, b = FALSE, c = FALSE];[a = TRUE, b = TRUE, c = FALSE];[a = TRUE, b = TRUE, c = FALSE];...",Negative,"Always(LImplies(Not(LAnd(AtomicProposition(""a""),AtomicProposition(""b""))),Eventually(AtomicProposition(""c""))))"
G(!(a & b)) & G(a | b),"[a = TRUE, b = FALSE];[a = TRUE, b = FALSE];...",Positive,"LAnd(Always(Not(LAnd(AtomicProposition(""a""),AtomicProposition(""b"")))),Always(LOr(AtomicProposition(""a""),AtomicProposition(""b""))))"
G(!(a & b)) & G(a | b),"[a = TRUE, b = TRUE];[a = TRUE, b = FALSE];[a = TRUE, b = FALSE];...",Negative,"LAnd(Always(Not(LAnd(AtomicProposition(""a""),AtomicProposition(""b"")))),Always(LOr(AtomicProposition(""a""),AtomicProposition(""b""))))"
G ((a <-> b) -> (c <-> d)),"[a = TRUE, b = TRUE, c = TRUE, d = TRUE];[a = TRUE, b = TRUE, c = TRUE, d = TRUE];...",Positive,"Always(LImplies(LEquiv(AtomicProposition(""a""),AtomicProposition(""b"")),LEquiv(AtomicProposition(""c""),AtomicProposition(""d""))))"
G ((a <-> b) -> (c <-> d)),"[a = TRUE, b = TRUE, c = TRUE, d = FALSE];[a = TRUE, b = TRUE, c = TRUE, d = TRUE];[a = TRUE, b = TRUE, c = TRUE, d = TRUE];...",Negative,"Always(LImplies(LEquiv(AtomicProposition(""a""),AtomicProposition(""b"")),LEquiv(AtomicProposition(""c""),AtomicProposition(""d""))))"
(!a) U b,"[a = TRUE, b = TRUE];[a = TRUE, b = FALSE];[a = TRUE, b = TRUE];...",Positive,"Until(Not(AtomicProposition(""a"")), AtomicProposition(""b""))"
(!a) U b,"[a = TRUE, b = FALSE];[a = TRUE, b = FALSE];...",Negative,"Until(Not(AtomicProposition(""a"")), AtomicProposition(""b""))"
G (a -> X(G(!b))),"[a = TRUE, b = FALSE];[a = TRUE, b = FALSE];...",Positive,"Always(LImplies(AtomicProposition(""a""),Next(Always(Not(AtomicProposition(""b""))))))"
G (a -> X(G(!b))),"[a = TRUE, b = FALSE];[a = TRUE, b = TRUE];[a = FALSE, b = FALSE];[a = FALSE, b = FALSE];...",Negative,"Always(LImplies(AtomicProposition(""a""),Next(Always(Not(AtomicProposition(""b""))))))"
(b U (b & ! a)) | G(b),"[a = TRUE, b = TRUE];[a = FALSE, b = TRUE];[a = TRUE, b = TRUE];[a = TRUE, b = TRUE];...",Positive,"LOr(Until(AtomicProposition(""b""), LAnd(AtomicProposition(""b""),Not(AtomicProposition(""a"")))),Always(AtomicProposition(""b"")))"
(b U (b & ! a)) | G(b),"[a = TRUE, b = FALSE];[a = TRUE, b = TRUE];[a = TRUE, b = TRUE];...",Negative,"LOr(Until(AtomicProposition(""b""), LAnd(AtomicProposition(""b""),Not(AtomicProposition(""a"")))),Always(AtomicProposition(""b"")))"
G !(a & b),"[a = TRUE, b = FALSE];[a = TRUE, b = FALSE];...",Positive,"Always(Not(LAnd(AtomicProposition(""a""),AtomicProposition(""b""))))"
G !(a & b),"[a = TRUE, b = TRUE];[a = TRUE, b = FALSE];[a = TRUE, b = FALSE];...",Negative,"Always(Not(LAnd(AtomicProposition(""a""),AtomicProposition(""b""))))"
G (a & X(b) -> X(X(c))),"[a = TRUE, b = FALSE, c = FALSE];[a = TRUE, b = FALSE, c = FALSE];...",Positive,"Always(LImplies(LAnd(AtomicProposition(""a""),Next(AtomicProposition(""b""))),Next(Next(AtomicProposition(""c"")))))"
G (a & X(b) -> X(X(c))),"[a = TRUE, b = FALSE, c = FALSE];[a = TRUE, b = FALSE, c = FALSE];[a = TRUE, b = TRUE, c = FALSE];[a = FALSE, b = TRUE, c = FALSE];[a = FALSE, b = FALSE, c = TRUE];[a = TRUE, b = TRUE, c = FALSE];...",Negative,"Always(LImplies(LAnd(AtomicProposition(""a""),Next(AtomicProposition(""b""))),Next(Next(AtomicProposition(""c"")))))"
G (a -> X(F(b))),"[a = TRUE, b = FALSE];[a = TRUE, b = TRUE];[a = TRUE, b = FALSE];...",Positive,"Always(LImplies(AtomicProposition(""a""),Next(Eventually(AtomicProposition(""b"")))))"
G (a -> X(F(b))),"[a = TRUE, b = FALSE];[a = TRUE, b = FALSE];...",Negative,"Always(LImplies(AtomicProposition(""a""),Next(Eventually(AtomicProposition(""b"")))))"
a & G(a -> X(!a) & X(X(!a)) & X(X(X(!a))) & X(X(X(X(!a)))) & X(X(X(X(X(a)))))),[a = TRUE];[a = FALSE];[a = FALSE];[a = FALSE];[a = FALSE];...,Positive,"LAnd(AtomicProposition(""a""),Always(LImplies(AtomicProposition(""a""),LAnd(LAnd(LAnd(LAnd(Next(Not(AtomicProposition(""a""))),Next(Next(Not(AtomicProposition(""a""))))),Next(Next(Next(Not(AtomicProposition(""a"")))))),Next(Next(Next(Next(Not(AtomicProposition(""a""))))))),Next(Next(Next(Next(Next(AtomicProposition(""a""))))))))))"
a & G(a -> X(!a) & X(X(!a)) & X(X(X(!a))) & X(X(X(X(!a)))) & X(X(X(X(X(a)))))),[a = TRUE];[a = FALSE];[a = FALSE];[a = FALSE];[a = FALSE];[a = FALSE];...,Negative,"LAnd(AtomicProposition(""a""),Always(LImplies(AtomicProposition(""a""),LAnd(LAnd(LAnd(LAnd(Next(Not(AtomicProposition(""a""))),Next(Next(Not(AtomicProposition(""a""))))),Next(Next(Next(Not(AtomicProposition(""a"")))))),Next(Next(Next(Next(Not(AtomicProposition(""a""))))))),Next(Next(Next(Next(Next(AtomicProposition(""a""))))))))))"
G(F(a)) | X(b),"[a = FALSE, b = FALSE];[a = FALSE, b = TRUE];[a = FALSE, b = FALSE];...",Positive,"LOr(Always(Eventually(AtomicProposition(""a""))),Next(AtomicProposition(""b"")))"
G(F(a)) | X(b),"[a = FALSE, b = FALSE];[a = FALSE, b = FALSE];...",Negative,"LOr(Always(Eventually(AtomicProposition(""a""))),Next(AtomicProposition(""b"")))"
G (a),[a = TRUE];[a = TRUE];...,Positive,"Always(AtomicProposition(""a""))"
G (a),[a = FALSE];[a = TRUE];[a = TRUE];...,Negative,"Always(AtomicProposition(""a""))"
G (a -> (b | X(b))),"[a = TRUE, b = TRUE];[a = FALSE, b = FALSE];...",Positive,"Always(LImplies(AtomicProposition(""a""),LOr(AtomicProposition(""b""),Next(AtomicProposition(""b"")))))"
G (a -> (b | X(b))),"[a = TRUE, b = TRUE];[a = TRUE, b = FALSE];[a = TRUE, b = FALSE];[a = FALSE, b = TRUE];[a = TRUE, b = FALSE];...",Negative,"Always(LImplies(AtomicProposition(""a""),LOr(AtomicProposition(""b""),Next(AtomicProposition(""b"")))))"
G (a -> F(b)),"[a = TRUE, b = TRUE];[a = FALSE, b = FALSE];[a = FALSE, b = FALSE];...",Positive,"Always(LImplies(AtomicProposition(""a""),Eventually(AtomicProposition(""b""))))"
G (a -> F(b)),"[a = TRUE, b = TRUE];[a = TRUE, b = FALSE];[a = FALSE, b = FALSE];[a = FALSE, b = FALSE];...",Negative,"Always(LImplies(AtomicProposition(""a""),Eventually(AtomicProposition(""b""))))"
G(a | X(a) | X(X(a))),[a = TRUE];[a = FALSE];[a = FALSE];...,Positive,"Always(LOr(LOr(AtomicProposition(""a""),Next(AtomicProposition(""a""))),Next(Next(AtomicProposition(""a"")))))"
G(a | X(a) | X(X(a))),[a = TRUE];[a = FALSE];[a = FALSE];[a = FALSE];[a = TRUE];...,Negative,"Always(LOr(LOr(AtomicProposition(""a""),Next(AtomicProposition(""a""))),Next(Next(AtomicProposition(""a"")))))"
G(!a -> (X(!a) | X(X(a)))),[a = TRUE];[a = FALSE];[a = FALSE];[a = TRUE];...,Positive,"Always(LImplies(Not(AtomicProposition(""a"")),LOr(Next(Not(AtomicProposition(""a""))),Next(Next(AtomicProposition(""a""))))))"
G(!a -> (X(!a) | X(X(a)))),[a = TRUE];[a = FALSE];[a = FALSE];[a = TRUE];[a = FALSE];[a = FALSE];[a = TRUE];...,Negative,"Always(LImplies(Not(AtomicProposition(""a"")),LOr(Next(Not(AtomicProposition(""a""))),Next(Next(AtomicProposition(""a""))))))"
G(a -> (X(!a) | X(X(!a)) | X(X(X(a))))),[a = TRUE];[a = FALSE];[a = FALSE];[a = FALSE];...,Positive,"Always(LImplies(AtomicProposition(""a""),LOr(LOr(Next(Not(AtomicProposition(""a""))),Next(Next(Not(AtomicProposition(""a""))))),Next(Next(Next(AtomicProposition(""a"")))))))"
G(a -> (X(!a) | X(X(!a)) | X(X(X(a))))),[a = TRUE];[a = FALSE];[a = FALSE];[a = FALSE];[a = TRUE];[a = TRUE];[a = TRUE];[a = FALSE];[a = FALSE];...,Negative,"Always(LImplies(AtomicProposition(""a""),LOr(LOr(Next(Not(AtomicProposition(""a""))),Next(Next(Not(AtomicProposition(""a""))))),Next(Next(Next(AtomicProposition(""a"")))))))"
G ( a -> X(b)),"[a = TRUE, b = FALSE];[a = FALSE, b = TRUE];...",Positive,"Always(LImplies(AtomicProposition(""a""),Next(AtomicProposition(""b""))))"
G ( a -> X(b)),"[a = TRUE, b = FALSE];[a = TRUE, b = FALSE];...",Negative,"Always(LImplies(AtomicProposition(""a""),Next(AtomicProposition(""b""))))"
F (a & b),"[a = TRUE, b = TRUE];[a = TRUE, b = FALSE];[a = TRUE, b = FALSE];...",Positive,"Eventually(LAnd(AtomicProposition(""a""),AtomicProposition(""b"")))"
F (a & b),"[a = TRUE, b = FALSE];[a = TRUE, b = FALSE];...",Negative,"Eventually(LAnd(AtomicProposition(""a""),AtomicProposition(""b"")))"
F(a) & F(b),"[a = TRUE, b = TRUE];[a = FALSE, b = FALSE];[a = FALSE, b = FALSE];...",Positive,"LAnd(Eventually(AtomicProposition(""a"")),Eventually(AtomicProposition(""b"")))"
F(a) & F(b),"[a = TRUE, b = FALSE];[a = FALSE, b = FALSE];[a = FALSE, b = FALSE];...",Negative,"LAnd(Eventually(AtomicProposition(""a"")),Eventually(AtomicProposition(""b"")))"
G(a <-> X(b)),"[a = TRUE, b = FALSE];[a = FALSE, b = TRUE];...",Positive,"Always(LEquiv(AtomicProposition(""a""),Next(AtomicProposition(""b""))))"
G(a <-> X(b)),"[a = TRUE, b = FALSE];[a = TRUE, b = FALSE];...",Negative,"Always(LEquiv(AtomicProposition(""a""),Next(AtomicProposition(""b""))))"
(a U b) | G(a),"[a = TRUE, b = TRUE];[a = TRUE, b = FALSE];[a = TRUE, b = FALSE];...",Positive,"LOr(Until(AtomicProposition(""a""), AtomicProposition(""b"")),Always(AtomicProposition(""a"")))"
